info,job_position_info,name,position
"
本科以上 , 5-7 年 , 全职 , 1-1.5万/月
",,"
海外销售经理
","
成都
"
"
大专以上 , 3年以上 , 全职 , 6-13万/年
",,"
HIT质量工程师 助工
","
成都
"
"
本科以上 , 2年以上 , 全职 , 9.6-14.4万元
",,"
产品主任
","
合肥
"
"
本科以上 , 3年以上 , 全职 , 12.0-18.0万元
",,"
厂长
","
合肥
"
"
本科以上 , 2年以上 , 全职 , 9.6-14.4万元
",,"
培训文化主管
","
上海
"
"
本科以上 , 1年经验 , 全职 , 5.5-8千/月
",,"
销售代表
","
广州
"
"
大专以上 , 全职 , 5-8千/月
",,"
销售代表
","
北京
"
"
本科以上 , 1年以上 , 全职 , 4.8-9.6万元
",,"
人事专员
","
阜阳
"
"
本科以上 , 3年以上 , 全职
",,"
采购主管
","
--
"
"
本科以上 , 2年经验 , 全职 , 6-8千/月
",,"
生产班长
","
长沙
"
"
大专以上 , 1年经验 , 全职 , 3-4.5千/月
",,"
计划员
","
长沙
"
"
本科以上 , 1年经验 , 全职 , 3-4.5千/月
",,"
计划采购专员
","
长沙
"
"
本科以上 , 1年经验 , 全职 , 4-7千/月
",,"
车间班长
","
长沙
"
"
大专以上 , 1年经验 , 全职 , 3-5千/月
",,"
统计员
","
长沙
"
"
大专以上 , 1年经验 , 全职
",,"
精益专员
","
长沙
"
"
全职 , 0.8-1万/月
",,"
销售主任--湖南
","
长沙
"
"
大专以上 , 3年以上 , 全职 , 12.0-24.0万元
",,"
人事行政经理
","
--
"
"
1-3年 , 全职 , 4K-5K
",,"
叉车司机
","
合肥
"
"
大专以上 , 1-3年 , 全职 , 5K-7K
",,"
暖通工程师
","
合肥
"
"
大专以上 , 1-3年 , 全职 , 6K-8K
",,"
设备助理工程师
","
合肥
"
"
大专以上 , 1-3年 , 全职 , 6K-8K
",,"
工艺助理工程师
","
合肥
"
"
本科以上 , 1-3年 , 全职 , 5K-7K
",,"
质量制程工程师
","
合肥
"
"
全职 , 3000~4499
",,"
IT工程师
","
合肥
"
"
全职
",,"
文体专员
","
合肥
"
"
全职
",,"
CQM工程师
","
合肥
"
"
全职
",,"
机械工程师
","
合肥
"
"
本科以上 , 0-2年 , 全职 , 4500~5999
",,"
工艺工程师
","
合肥
"
"
本科以上 , 全职
",,"
储备干部
","
合肥
"
"
中技以上 , 3-5年 , 全职
",,"
仓库管理员
","
合肥
"
"
本科以上 , 1-3年 , 全职 , 5K-7K
",,"
船务专员
","
合肥
"
"
本科以上 , 1-3年 , 全职 , 5K-7K
",,"
计划专员
","
合肥
"
"
大专以上 , 1-3年 , 全职 , 5K-7K
",,"
物控专员
","
合肥
"
"
本科以上 , 全职 , 1.2-2万/月
",,"
高级Android开发工程师
","
合肥
"
"
本科以上 , 全职 , 1-1.5万/月
",,"
高级UI设计师
","
合肥
"
"
本科以上 , 全职 , 1.2-2万/月
",,"
高级前端开发工程师
","
合肥
"
"
本科以上 , 6年以上 , 全职 , 12.0-18.0万元
",,"
研发项目管理
","
合肥
"
"
本科以上 , 全职 , 6000-7999/月
",,"
工业设计工程师
","
合肥
"
"
本科以上 , 全职
",,"
产品包装设计工程师
","
合肥
"
"
本科以上 , 全职 , 8-12万
",,"
散热工程师
","
合肥
"
"
本科以上 , 全职
",,"
产品安全设计工程师
","
合肥
"
"
本科以上 , 全职
",,"
声学工程师
","
合肥
"
"
本科以上 , 全职
",,"
PC产品经理
","
合肥
"
"
本科以上 , 3-4年经验 , 全职 , 20-30万/年
",,"
关键组件工程师
","
合肥
"
